t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1758269611,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269641,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269671,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269701,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269731,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269761,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269791,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269821,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269851,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269881,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269911,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269941,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758269971,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758270001,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758270031,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758270061,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758270091,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758270121,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758270151,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758270181,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758270211,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758270241,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758270271,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758270301,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758270331,31,758,100.3225806451613,0,193.89952502894795,23.0,60.0,624.7999999999997,758.0,758.0,758.0
1758270362,39,758,80.25641025641026,0,176.87204979108753,18.0,46.0,536.0,758.0,758.0,758.0
1758270392,42,758,77.0952380952381,0,171.14903069687108,15.5,48.0,535.4,758.0,758.0,758.0
1758270422,46,758,71.1086956521739,0,164.55815969651982,9.5,46.0,534.6,758.0,758.0,758.0
1758270452,53,758,63.75471698113208,0,154.42983291653815,6.0,44.0,533.2,740.2400000000004,758.0,758.0
1758270482,58,758,58.96551724137931,0,148.35684404854248,5.5,34.5,532.2,718.0400000000001,758.0,758.0
1758270512,62,758,55.693548387096776,0,143.97069245357957,5.5,31.25,525.8499999999998,700.2800000000004,758.0,758.0
1758270542,68,758,52.25,0,137.88210137866704,11.5,29.75,513.5499999999998,673.640000000001,758.0,758.0
1758270572,73,758,48.945205479452056,0,133.57986483446263,6.0,24.5,503.2999999999999,651.4399999999991,758.0,758.0
1758270602,75,758,47.946666666666665,0,131.90966332789756,6.0,23.0,499.2000000000001,642.5600000000009,758.0,758.0
1758270632,75,758,47.946666666666665,0,131.90966332789756,6.0,23.0,499.2000000000001,642.5600000000009,758.0,758.0
1758270662,75,758,47.946666666666665,0,131.90966332789756,6.0,23.0,499.2000000000001,642.5600000000009,758.0,758.0
1758270692,75,758,47.946666666666665,0,131.90966332789756,6.0,23.0,499.2000000000001,642.5600000000009,758.0,758.0
1758270722,75,758,47.946666666666665,0,131.90966332789756,6.0,23.0,499.2000000000001,642.5600000000009,758.0,758.0
1758270752,75,758,47.946666666666665,0,131.90966332789756,6.0,23.0,499.2000000000001,642.5600000000009,758.0,758.0
1758270782,75,758,47.946666666666665,0,131.90966332789756,6.0,23.0,499.2000000000001,642.5600000000009,758.0,758.0
1758270812,75,758,47.946666666666665,0,131.90966332789756,6.0,23.0,499.2000000000001,642.5600000000009,758.0,758.0
1758270842,79,758,45.65822784810127,0,128.8694316438302,4.0,23.0,491.0,624.8000000000013,758.0,758.0
1758270872,82,758,44.048780487804876,0,126.73320888016026,4.0,23.0,438.349999999998,611.4800000000007,758.0,758.0
1758270902,85,758,42.54117647058823,0,124.70188765337005,3.0,22.5,385.700000000001,598.1600000000003,758.0,758.0
1758270932,88,758,41.125,0,122.76730746257,3.0,21.5,333.049999999999,584.8399999999997,758.0,758.0
