t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1758270301,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758270331,73,1842,258.8493150684931,2,540.2847158683219,10.0,96.0,1619.6,1840.08,1842.0,1842.0
1758270362,109,1842,180.0275229357798,2,455.8018059118579,9.0,46.5,1596.5,1794.5999999999995,1841.6,1842.0
1758270392,110,1842,178.47272727272727,2,453.9991049801408,9.0,45.25,1595.7499999999998,1790.2600000000002,1841.56,1842.0
1758270422,111,1842,176.9099099099099,2,452.230603876738,9.0,44.0,1594.9999999999998,1785.919999999998,1841.52,1842.0
1758270452,112,1842,175.36607142857142,2,450.48530378756135,9.0,42.75,1594.25,1781.579999999999,1841.48,1842.0
1758270482,113,1842,173.8495575221239,2,448.75934572916333,9.0,41.5,1593.5,1777.2399999999998,1841.44,1842.0
1758270512,114,1842,172.359649122807,2,447.0523939754353,8.5,40.25,1592.75,1772.9000000000005,1841.4,1842.0
1758270542,115,1842,170.89565217391305,2,445.3641201784603,8.0,39.0,1591.9999999999998,1768.5599999999984,1841.3600000000001,1842.0
1758270572,116,1842,169.4655172413793,2,443.69097022755517,8.0,38.5,1591.2499999999998,1764.2199999999993,1841.32,1842.0
1758270602,117,1842,168.05982905982907,2,442.0359497511309,8.0,38.0,1590.5,1759.88,1841.28,1842.0
1758270632,118,1842,166.6864406779661,2,440.3956204932289,8.0,37.5,1589.75,1755.5400000000009,1841.24,1842.0
1758270662,119,1842,165.34453781512605,2,438.7698218415833,8.0,37.0,1589.0,1751.1999999999987,1841.2,1842.0
1758270692,120,1842,164.00833333333333,2,437.1674773943237,8.0,33.25,1587.8999999999996,1746.8599999999997,1841.1599999999999,1842.0
1758270722,121,1842,162.69421487603304,2,435.58205968135724,8.0,29.5,1586.7999999999997,1742.5200000000004,1841.12,1842.0
1758270752,121,1842,162.69421487603304,2,435.58205968135724,8.0,29.5,1586.7999999999997,1742.5200000000004,1841.12,1842.0
1758270782,122,1842,161.4016393442623,2,434.0132850127266,8.0,25.75,1585.6999999999998,1738.1799999999982,1841.08,1842.0
1758270812,123,1842,160.130081300813,2,432.46087588320114,8.0,22.0,1584.6,1733.8399999999992,1841.04,1842.0
1758270842,124,1842,158.90322580645162,2,430.9159354260918,8.0,21.25,1583.5,1729.5,1841.0,1842.0
1758270872,125,1842,157.664,2,429.39843412127914,8.0,20.5,1582.3999999999996,1725.1600000000008,1840.96,1842.0
1758270902,126,1842,156.43650793650792,2,427.8992871418553,8.0,19.75,1581.2999999999997,1720.8199999999986,1840.92,1842.0
1758270932,127,1842,155.22834645669292,2,426.4153126620114,8.0,19.0,1580.1999999999998,1716.4799999999996,1840.88,1842.0
1758496830,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758496860,36,2968,810.25,3,1097.687579153819,91.0,1471.0,2956.1,2968.0,2968.0,2968.0
1758496890,37,2968,788.6216216216217,3,1090.300961288298,91.0,1471.0,2955.4,2968.0,2968.0,2968.0
1758496920,38,2968,768.0526315789474,3,1082.914958787559,86.0,1471.0,2954.7,2968.0,2968.0,2968.0
1758496950,39,2968,748.5384615384615,3,1075.4977757238946,81.0,1471.0,2954.0,2968.0,2968.0,2968.0
1758496980,40,2968,730.05,3,1068.0400441450852,81.0,1422.0,2953.25,2968.0,2968.0,2968.0
1758497010,41,2968,712.4878048780488,3,1060.5835450814618,81.0,1373.0,2952.5,2968.0,2968.0,2968.0
1758497040,42,2968,695.6666666666666,3,1053.226625756894,80.0,1324.0,2951.75,2968.0,2968.0,2968.0
1758497070,43,2968,679.6511627906976,3,1045.8986995407329,79.0,1275.0,2951.0,2968.0,2968.0,2968.0
1758497100,44,2968,664.4318181818181,3,1038.5837046296263,79.0,1275.0,2950.25,2968.0,2968.0,2968.0
1758497130,45,2968,650.0222222222222,3,1031.2540135214215,79.0,1275.0,2949.5,2968.0,2968.0,2968.0
1758497160,46,2968,636.0217391304348,3,1024.1427957973317,78.5,1275.0,2948.75,2968.0,2968.0,2968.0
1758497190,47,2968,622.6382978723404,3,1017.096580116164,78.0,1275.0,2948.0,2968.0,2968.0,2968.0
1758497220,48,2968,609.7916666666666,3,1010.146944405011,78.0,1122.0,2947.25,2968.0,2968.0,2968.0
1758497250,49,2968,597.4489795918367,3,1003.296235358408,78.0,969.0,2946.5,2968.0,2968.0,2968.0
1758497280,50,2968,585.64,3,996.5104167103548,69.5,816.0,2945.75,2967.72,2968.0,2968.0
1758497310,51,2968,574.2745098039215,3,989.8283907512731,61.0,663.0,2945.0,2967.44,2968.0,2968.0
1758497340,52,2968,563.4038461538462,3,983.2060654022332,60.5,663.0,2944.25,2967.16,2968.0,2968.0
1758497370,53,2968,552.9245283018868,3,976.6904054205911,60.0,663.0,2943.5,2966.88,2968.0,2968.0
1758497400,54,2968,542.8518518518518,3,970.2599419725138,54.0,663.0,2942.75,2966.6,2968.0,2968.0
1758497430,81,2968,375.6296296296296,3,826.4947586712884,14.0,98.0,2919.3999999999987,2959.04,2968.0,2968.0
1758497460,86,2968,355.9418604651163,3,805.8989333022313,12.5,97.0,2887.8999999999987,2957.64,2968.0,2968.0
1758497490,88,2968,348.0,3,798.3019766836428,11.5,94.75,2875.2999999999997,2957.08,2968.0,2968.0
1758497520,90,2968,340.3888888888889,3,790.9124682665116,11.0,92.25,2862.7000000000003,2956.52,2968.0,2968.0
1758497550,92,2968,333.10869565217394,3,783.7127116673872,11.0,91.0,2850.0999999999995,2955.96,2968.0,2968.0
1758497580,94,2968,326.13829787234044,3,776.695503655855,10.5,91.0,2837.5,2955.4,2968.0,2968.0
1758497610,96,2968,319.4791666666667,3,769.8453703817706,10.0,89.0,2824.8999999999987,2954.84,2968.0,2968.0
1758497640,98,2968,313.0816326530612,3,763.1689855359066,10.0,85.0,2812.2999999999997,2954.2799999999997,2968.0,2968.0
1758497670,103,2968,298.22330097087377,3,747.1589973324815,10.0,81.0,2741.999999999999,2952.8,2967.44,2968.0
1758497700,105,2968,292.6952380952381,3,741.0128739124775,10.0,81.0,2709.9999999999964,2952.2,2967.16,2968.0
1758497730,113,2968,274.78761061946904,3,717.284629838306,9.0,80.0,2581.999999999999,2949.8,2966.04,2968.0
1758497760,115,2968,270.18260869565216,3,711.8143679581999,9.0,79.0,2549.9999999999964,2949.2,2965.76,2968.0
1758497790,117,2968,265.6666666666667,3,706.4889144260486,9.0,79.0,2517.999999999998,2948.6,2965.48,2968.0
1758497820,119,2968,261.3193277310924,3,701.2715682386412,9.0,79.0,2486.0,2948.0,2965.2,2968.0
