t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1758267330,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267360,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267390,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267420,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267450,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267480,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267510,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267540,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267570,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267600,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267630,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267660,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267690,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267720,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267750,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267780,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267810,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267840,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267870,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267900,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267930,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267960,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758267990,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
